Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history,,,,,,,,,,,
Osteoarthristis, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,,,,,,,,,,,,
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,,,,,,
Varicose veins, fatigue, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,,,,,,,,,,,
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, slurred_speech, irritability, palpitations,,,,,,
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,,,,,,,,,,,
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,
Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,,,,,,,,,,,,,
Hypoglycemia, vomiting, fatigue, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,,,,,,
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,
Tuberculosis, chills, vomiting, fatigue, weight_loss, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,
Hyperthyroidism, fatigue, mood_swings, weight_loss, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation,,,,,,,
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,
AIDS, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,,,,,,,,,,,,
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,
Acne, skin_rash, pus_filled_pimples, blackheads,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,
Typhoid, chills, vomiting, fatigue, high_fever, headache, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,
Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,,,,,,,,,,,,,
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,,,,,,,,,,,,
Hypertension , headache, chest_pain, dizziness, lack_of_concentration,,,,,,,,,,,,,
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,
Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,
Psoriasis, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,,,,,,,,,,,,,
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,
Acne, skin_rash, pus_filled_pimples, blackheads, scurring,,,,,,,,,,,,,
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria,,,,,,,,
Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,,
Impetigo, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,
Hepatitis E, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,
Psoriasis, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,
Varicose veins, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,,,,,,,,,,,
Chicken pox,itching, skin_rash, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,,
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,,,,,,,,,,,,,,
Hepatitis C, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes, family_history,,,,,,,,,,,,
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,,,,,,,,,,,
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,,,,,,,,,,,,
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,,,,,,,,,,,
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,
Hypoglycemia, vomiting, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,,,,,,
Hepatitis B,itching, fatigue, lethargy, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,,
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, unsteadiness,,,,,,,,,,,,
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria,,,,,,,,
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,,,,,,,,,,,,
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,
Tuberculosis, chills, vomiting, fatigue, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, fluid_overload,,,,,,,,,,,
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,
Impetigo, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,,,,,,,,,,,,
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history,,,,,,,,,,,
Typhoid, chills, vomiting, fatigue, high_fever, headache, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,,
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history,,,,,,,,,,,
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,
Acne, skin_rash, pus_filled_pimples, blackheads, scurring,,,,,,,,,,,,,
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,,,,,,,,,,,
Jaundice,itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,
Impetigo, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,,,,,,,,,,,
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking,,,,,,,,,,,,
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking,,,,,,,,,,,,
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,
AIDS, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking,,,,,,,,,,,,
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria,,,,,,,,
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain
Hepatitis D, joint_pain, vomiting, fatigue, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,
Jaundice,itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails,,,,,,,,,,,,
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,,,,,,,,,,,
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history,,,,,,,,,,,
Chicken pox,itching, skin_rash, fatigue, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,,,,,,,,,,,
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,,,,,,,,,,,
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,,,,,,,,,,,
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,
Chicken pox,itching, skin_rash, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,
Impetigo, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,
Heart attack, vomiting, breathlessness, sweating, chest_pain,,,,,,,,,,,,,
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, muscle_weakness, irritability, abnormal_menstruation,,,,,,,
Arthritis, muscle_weakness, stiff_neck, swelling_joints, painful_walking,,,,,,,,,,,,,
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,
Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, belly_pain,,,,,,,
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,
AIDS, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,,,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,,,,,,,,,,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,,,,,,,,,,,,
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,
Common Cold, continuous_sneezing, chills, fatigue, cough, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,
Arthritis, muscle_weakness, stiff_neck, movement_stiffness, painful_walking,,,,,,,,,,,,,
Hepatitis B,itching, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,,
Common Cold, continuous_sneezing, chills, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,,,,,
Acne, skin_rash, pus_filled_pimples, scurring,,,,,,,,,,,,,,
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, abdominal_pain,,,,,,,,,,
Varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, prominent_veins_on_calf,,,,,,,,,,,
Impetigo, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,,
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,,,,,,,,,,,,,
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, toxic_look_(typhos), belly_pain,,,,,,,
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,,,,,,,,,,,,,
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,
Impetigo, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance, unsteadiness,,,,,,,,,,,,
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,,,,,
Hypoglycemia, vomiting, fatigue, anxiety, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,,,,,,
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,,,,,,,,,,,
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool,,,,,,,,,,,,,
Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,,,,,,,,,,,,,
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking,,,,,,,,,,,,
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,,,,,,,,,,,
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,
Impetigo, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,,
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, toxic_look_(typhos), belly_pain,,,,,,,
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,,,,,,,,,,,,,
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,,,,,,,,,,,
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,
Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,,,,,,,,,,,,,,
Hepatitis D, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,,,,,,,,,,,
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances,,,,,,,,,
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,,,,,,,,,,,
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,,,,
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine,,,,,,,,,,
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,
Heart attack, vomiting, breathlessness, sweating, chest_pain,,,,,,,,,,,,,
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,
